iso3,countryname,genero,age,Fruits (g/day),Non-starchy vegetables (g/day),Beans and legumes (g/day),Unprocessed red meats (g/day),Sugar-sweetened beverages (g/day),Total Protein (g/day)
LBN,Lebanon,MALE,57,149.92431666666664,312.92648916666667,32.859796083333336,62.59528950000001,202.50357083333333,108.15927916666665
LBN,Lebanon,MALE,62,148.57436916666668,310.56155916666665,33.431633166666664,61.28170016666667,187.69579000000002,108.58784583333333
LBN,Lebanon,MALE,67,146.64287,307.329495,33.987415,59.85477441666668,176.58740583333335,109.01741583333335
LBN,Lebanon,MALE,72,144.20532083333333,303.7540458333333,34.532491583333325,58.38009349999999,168.59417000000002,109.43262583333335
LBN,Lebanon,MALE,77,141.37380166666665,299.79139,35.07514925,56.846701249999995,163.46033666666668,109.85530666666666
LBN,Lebanon,MALE,82,138.28108333333333,295.956065,35.56686025,55.31746633333333,160.8417425,110.32788666666666
LBN,Lebanon,MALE,87,134.98538066666666,292.24411749999996,35.9803,53.82102749999999,160.92718416666665,9577.515189166666
LBN,Lebanon,MALE,92,131.65666808333333,288.8631966666667,36.370866666666664,52.35111041666667,163.50733166666666,111.34589166666665
LBR,Liberia,MALE,22,2.1799782874692877,3.7313630466830463,0.5235215454545455,0.5844479361179361,6.868858648648647,2.1664460761670763
LBR,Liberia,MALE,27,80.19011099999999,134.21734916666668,17.96837216666667,20.668434083333334,216.10532000000003,74.82440308333334
LBR,Liberia,MALE,32,85.67580016666666,140.41913833333334,18.15025308333333,21.469910083333335,198.54350416666668,75.80720466666668
LBR,Liberia,MALE,37,89.69492608333333,13726.348619166667,18.328295916666672,22.2525215,183.52158733333331,76.44654791666666
LBR,Liberia,MALE,42,91.99320258333331,147.24082916666666,18.499195,22.984494166666664,169.24759516666668,77.17240524999998
LBR,Liberia,MALE,47,92.60015508333333,148.01550833333332,18.680711833333334,23.698341833333334,157.55918125000002,77.24775941666667
LBR,Liberia,MALE,52,91.70595283333334,147.28878166666667,18.855031333333333,24.361696500000004,148.63659466666667,77.81686074999999
LBR,Liberia,MALE,57,89.51807916666667,145.24223583333335,19.053716083333335,25.007354916666667,142.1669359166667,77.59198891666666
LBR,Liberia,MALE,62,86.3008345,142.21472166666666,19.232010083333332,25.608670083333333,134.94637058333333,77.48395525
LBR,Liberia,MALE,67,82.27423925,138.33062083333334,19.427080916666668,26.19131391666667,128.66030883333335,77.17814841666667
LBR,Liberia,MALE,72,77.73015466666668,133.92289083333333,19.59617708333333,26.71594083333333,124.40396425,76.81315166666667
LBR,Liberia,MALE,77,72.84485425000001,129.0569275,19.7539045,27.246055166666668,122.16000458333333,76.49471533333333
LBR,Liberia,MALE,82,4501.533856416667,10410.759861666667,19.917304916666666,27.752646666666664,120.90375783333333,76.1763955
LBR,Liberia,MALE,87,62.88938125000001,119.04202416666665,20.040654083333333,28.29767825,121.43805099999999,75.85418875
LBR,Liberia,MALE,92,57.975024499999996,114.07232583333332,20.111198833333336,28.807897416666666,122.04281249999998,75.19555533333333
LBY,Libya,MALE,22,1.4684837985257986,3.8546502457002454,1.7138606265356267,0.9992299287469288,8.984205995085997,1.453937162162162
LBY,Libya,MALE,27,51.071137416666666,136.80414333333331,58.830943416666656,34.24949791666667,246.550305,49.59565391666667
LBY,Libya,MALE,32,52.32198416666666,141.05641083333333,61.47899191666665,34.174711499999994,202.12428666666662,49.79691675000001
LBY,Libya,MALE,37,53.32596941666667,143.89106999999998,61.67390291666666,2789.514643,168.32945583333333,50.13091158333333
LBY,Libya,MALE,42,54.0267045,145.56551583333336,64.03307616666667,33.95813125,144.6674208333333,50.564592000000005
LBY,Libya,MALE,47,54.39223766666666,146.240835,65.86357916666668,33.93694133333333,126.45612,50.5681765
LBY,Libya,MALE,52,54.44667999999999,146.2077933333333,66.55822566666666,33.68775233333333,112.70250366666669,50.852974249999995
LBY,Libya,MALE,57,54.18673424999999,145.58231416666663,68.10802141666666,33.17692233333333,102.48519616666668,51.110640249999996
LBY,Libya,MALE,62,53.68855075,11461.741619999999,67.70270383333332,31.99507783333333,96.07054033333334,51.23190816666667
LBY,Libya,MALE,67,53.008022833333335,143.11264500000001,69.40874583333333,31.293862333333337,90.25272600000001,51.414993833333334
LBY,Libya,MALE,72,52.12216900000001,141.39617083333334,70.58530133333333,30.68512425,85.74868608333334,51.50418025000001
LBY,Libya,MALE,77,51.120853833333335,139.62405166666667,72.3317375,29.494802666666672,82.57671475000001,51.89272741666667
LBY,Libya,MALE,82,49.99390441666666,137.810065,74.96692091666667,29.00063,81.6168625,52.06762075
LBY,Libya,MALE,87,48.81647358333333,136.0960875,73.98778016666667,27.880783583333336,81.56230283333335,52.50530091666667
LBY,Libya,MALE,92,47.54712241666666,134.55195666666665,75.68236025,27.55728433333333,83.27778608333334,52.49405858333333
LCA,Saint Lucia,MALE,22,3.1124777002457003,4.218131793611794,0.4868540909090909,0.8186094545454544,13.674576977886977,2.131013108108108
LCA,Saint Lucia,MALE,27,108.90635458333334,146.31963,16.20952683333333,27.931972833333333,431.6522958333333,73.61557824999998
LCA,Saint Lucia,MALE,32,112.684217,149.40944416666665,16.39887583333333,27.714525749999996,400.4783066666667,74.48136591666666
LCA,Saint Lucia,MALE,37,116.13313308333333,152.0907675,16.269702166666665,27.686677749999998,366.1285858333333,75.27849575
LCA,Saint Lucia,MALE,42,118.88735758333331,154.27547416666667,16.111062916666665,27.543974166666672,333.0587008333334,75.44217116666667
LCA,Saint Lucia,MALE,47,120.82946183333333,155.9911075,16.332265583333335,27.15507658333333,311.5637958333334,75.53029891666668
LCA,Saint Lucia,MALE,52,121.8793625,157.43576666666667,16.473392333333333,27.70224041666667,285.3496658333333,75.46202866666665
